DATE,ACWV US Equity,AGG US Equity,AMLP US Equity,ARKG US Equity,ARKK US Equity,ARKQ US Equity,ASHR US Equity,BBAX US Equity,BNDX US Equity,BOTZ US Equity,CALF US Equity,CIBR US Equity,COPX US Equity,COWZ US Equity,DIVO US Equity,DXJ US Equity,EEMV US Equity,EFAV US Equity,EFV US Equity,EMXC US Equity,EUFN US Equity,EWA US Equity,EWC US Equity,EWL US Equity,EWT US Equity,EWU US Equity,EWW US Equity,EWY US Equity,EWZ US Equity,FEZ US Equity,FXD US Equity,GDX US Equity,GLDM US Equity,GUNR US Equity,HDV US Equity,HEFA US Equity,IBB US Equity,ICLN US Equity,IEFA US Equity,IGF US Equity,IGV US Equity,IHI US Equity,IJH US Equity,IJR US Equity,ILF US Equity,INDA US Equity,ITA US Equity,JETS US Equity,KRE US Equity,KWEB US Equity,LIT US Equity,MBB US Equity,MCHI US Equity,OIH US Equity,PAVE US Equity,PCY US Equity,PDBC US Equity,PICK US Equity,RPV US Equity,SCHP US Equity,SLQD US Equity,SLV US Equity,SMH US Equity,SPLV US Equity,SPYD US Equity,TAN US Equity,URA US Equity,VCIT US Equity,VEA US Equity,VGK US Equity,VIG US Equity,VNQ US Equity,VOO US Equity,VPL US Equity,VTV US Equity,VWO US Equity,VXF US Equity,VYMI US Equity,XBI US Equity,XHB US Equity,XLB US Equity,XLC US Equity,XLE US Equity,XLF US Equity,XLI US Equity,XLK US Equity,XLP US Equity,XLU US Equity,XLV US Equity,XLY US Equity,XME US Equity,XOP US Equity
42734.00,72.61,108.06,63,16.926875,20.05,21.962875,23.45,,54.29,15,,19.5205,20,24.64,24.88,49.54,48.91,61.22,47.25,,18.96,20.23,26.15,29.46,29.37,30.69,43.97,53.22,33.34,33.46,35.5,20.92,,28.66,82.25,26.12,88.46,7.88,53.63,39.04,21.77,22.19166667,33.068,68.76,27.58,26.81,70.26,27.87,55.57,34.73,24.38,106.34,43.73,667,,28.26,17.28,25.74,57.59,27.42,50.195,15.11,35.82,41.58,34.86,16.57,12.87,85.7,36.54,47.94,85.18,82.53,205.31,58.12,93.01,35.78,95.9,56.63,59.19,33.85,49.7,,75.32,23.25,62.22,48.36,51.71,48.57,68.94,81.4,30.41,165.68
42738.00,72.8,108.17,63.7,17.1896875,20.436625,22.24,23.89,,54.1,15.1,,19.6,20.626875,24.92,25,50.41,49.1,61.29,47.64,,19.34,20.59,26.3,29.57,29.74,30.81,43.63,54.03,34.46,33.53,35.72,21.76,,28.99,82.78,26.46,90.08,7.97,53.95,39.19,22,22.26666667,33.246,69.145,28.34,26.93,71.195,27.92,55.57,35.17,24.79,106.4,44.19,681.6,,28.28,17.18,26.31,58.47,27.485,50.17,15.44,35.88,41.63,35.16,16.96,13.27,85.62,36.77,48.1,85.47,82.8,206.74,58.69,93.63,36.17,96.49,57.2,59.59,34.16,49.99,,76.17,23.51,62.59,48.79,51.9,48.45,69.84,81.88,31.09,168.04
42739.00,73.28,108.2,63.9,18.149875,21.359875,22.65,24.47,,54.13,15.32,,19.860125,21.229,25.32,25.08,51.32,49.61,61.91,48.36,,19.57,20.85,26.74,29.86,29.8,31.11,43.1,54.4,34.81,33.76,36.35,21.92,,29.21,82.7,26.61,92.41,8.11,54.53,39.41,22.318,22.39833333,33.782,70.3,28.46,27.08,71.68,28.38,56.44,35.73,25.31,106.37,44.77,689.8,,28.5,17.21,26.56,59.18,27.515,50.189875,15.58,35.995,41.83,35.5328125,17.35,13.69,85.9,37.22,48.5,85.85,84.01,207.96,59.72,94.14,36.5,98.19,57.78,62.34,34.69,50.72,,76.01,23.7,62.96,48.96,51.9,48.63,70.39,82.97,32.23,168.84
42740.00,73.67,108.65,64,17.9266875,21.15,22.49,24.66,,54.09,15.35,,20.01,21.75,25.12,25.05,50.64,50.26,62.64,48.72,,19.59,21.05,26.94,30.22,30.35,31.32,43.43,54.94,35.22,34.1,35.87,23.2,,29.52,82.72,26.61,92.7,8.16,55.05,39.64,22.364,22.42166667,33.52,69.285,28.79,27.45,71.62,28.11,55.55,36.94,25.59,106.69,45.61,693,,28.78,17.26,26.95,58.71,27.61,50.22,15.76,35.785,41.85,35.24,17.46,14.16,86.24,37.55,48.94,85.72,84.28,207.8,60.12,93.79,36.88,97.44,58.34,62.47,34.51,50.57,,75.82,23.46,62.78,49.04,52.07,48.68,70.75,82.91,32.66,168.32
42741.00,73.64,108.29,64.05,18.23,21.365,22.65,24.25,,53.95,15.37,,20.16,21.375,25.23,25.14,51.19,49.9,62.48,48.46,,19.57,20.94,26.89,30.16,30.27,31.12,43.12,54.34,34.86,33.97,35.7,22.39,,29.23,82.55,26.71,93.42,8.12,54.84,39.6,22.586,22.68666667,33.486,68.9,28.5,27.11,71.83,27.945,55.78,36.8,25.45,106.44,45.34,700.2,,28.78,17.26,26.51,58.68,27.515,50.189875,15.64,35.97,41.93,35.3,17.4,14.33,85.81,37.4,48.7,86.15,84.29,208.61,59.93,93.88,36.73,97.44,58.03,63.35,34.23,50.62,,75.89,23.54,63.14,49.4,52.12,48.83,70.95,83.32,31.8,167.08
42744.00,73.42,108.47,63.7,18.38,21.645,22.9,24.28,,54.09,15.33,,20.08,21.44,25.14,25.08,50.78,49.79,62.49,48.33,,19.25,21.17,26.7,30.21,30.28,30.87,42.34,54.24,34.85,33.95,35.52,22.46,,29.11,82.08,26.62,94.76,8.155,54.76,39.5,22.586,22.805,33.264,68.305,28.41,27.01,71.25,27.97,55.24,37.02,25.54,106.58,45.51,691.8,,28.79,17,26.49,58.23,27.565,50.21,15.7,36.385,41.58,35.01,17.46,14.37,86.01,37.31,48.53,85.73,83.53,207.95,60.15,93.37,36.67,96.87,57.87,65.36,34.02,50.61,,74.79,23.38,62.65,49.39,51.7,48.19,71.25,83.25,31.37,162.4
42745.00,73.45,108.44,63.15,18.62,21.95,22.92,24.34,,54.03,15.39,,20.26,22.26,25.1775,25.08,50.43,49.96,62.38,48.3,,19.21,21.21,26.74,30.25,30.42,30.97,41.96,54.47,35.25,33.85,35.73,22.62,,29.3,81.7,26.58,95.5,8.16,54.75,39.25,22.608,23.21,33.488,68.92,28.63,27.19,71.37,28.57,55.76,37.73,25.53,106.61,46.2,684,,28.74,16.91,27.52,58.4,27.58,50.25,15.91,36.525,41.52,34.93,17.57,15.597375,86.08,37.35,48.52,85.76,82.82,207.92,60.16,93.36,36.87,97.58,58.03,65.75,34.18,50.64,,74.11,23.43,62.91,49.4,51.44,48.04,71.5,83.55,32.48,162.4
42746.00,73.65,108.57,63.7,18.15,21.78,22.91,24.09,,54.13,15.5,,20.38,22.74,25.0671875,25.1085,50.72,50.2,62.68,48.63,,19.32,21.43,26.99,30.26,30.59,31.2,41.83,55.99,36.03,34.03,35.79,22.57,,29.65,81.8,26.7,92.64666667,8.25,55.1,39.575,22.894,23.26333333,33.614,69.145,29.12,27.6,71.31,28.7461875,56.09,37.59,26.06,106.77,46.37,694.6,,28.73,17.14,28.14,58.47,27.625,50.27,15.87,36.68,41.63,35.08,17.7,16.23,86.145,37.61,48.77,85.96,82.31,208.51,60.75,93.7,37.19,97.74,58.389875,63.49,34.31,51.05,,74.91,23.58,63.24,49.63,51.54,48.54,70.78,83.73,32.58,164
42747.00,73.59,108.61,63.5,18.32,21.83,22.901375,24.16,,54.09,15.54,,20.33,23.01,25.11,25.1,50.4,50.33,62.61,48.66,,19.28,21.52,27,30.4,30.8,31.26,42.03,56.72,36.42,34.06,35.59,22.62,,29.69,81.84,26.59,92.97666667,8.275,55.12,39.69,22.838,23.19666667,33.432,68.405,29.33,27.66,70.93,28.5,55.19,37.25,26.22,106.76,46.17,688.6,,28.82,17.37,28.27,58.29,27.67,50.309125,15.91,36.07,41.6,35.019875,17.51,16.42,86.175,37.64,48.82,85.83,82.73,208.05,60.71,93.42,37.28,97.29,58.53,64.48,34.2,50.95,,74.6,23.38,62.98,49.51,51.49,48.58,70.85,83.65,32.14,162.88
42748.00,73.67,108.42,63.75,18.3283125,22.06,23.21,24.28,,54.03,15.63,,20.525,23.22,25.18,25.1,50.67,50.36,62.89,48.86,,19.49,21.43,27.13,30.52,30.79,31.33,42.65,56.69,35.94,34.23,35.5296875,22.74,,29.74,81.78,26.7,93.33666667,8.26,55.35,39.79,22.948,23.37833333,33.624,68.905,29.23,27.66,71.22,28.525,55.81,37.5,26.48,106.53,46.31,679.2,,28.84508,17.35,28.41,58.41,27.62,50.3,15.94,36.605,41.615,35.049,17.67,16.94,86.01,37.78,49.03,85.96,82.61,208.46,60.91,93.55,37.24,97.88,58.61,65,34.36,50.87,,74.38,23.51,63.22,49.66,51.52,48.51,70.92,83.96,32.42,161.88
42752.00,73.8,108.79,63.9,17.82,21.72,22.92,24.51,,54.08,15.52,,20.28,22.7,25.17,25.07,49.18,50.34,63.02,48.68,,19.38,21.38,27.16,30.36,30.71,31.37,42.45,57.08,36.19,34.15,35.57,23.36,,29.88,82.08,26.29,91.50666667,8.35,55.16,39.93,22.714,23.33666667,33.312,68.015,29.4,27.515,70.36,28.34,53.79,37.36,26.19,106.83,46.22,686.4,,28.95555907,17.36,28.33,58.12,27.715,50.34,16.28,36.175,41.77528888,35.02,17.8,16.63,86.31,37.68,49.03,86.12,83.25,207.72,60.59,93.05,37.2,96.95,58.53,63.43,34.28,50.64,,74.84,22.95,62.73,49.47,52.25,49.04,70.56,84.1,32.32,164.44
